,Make,Model,2016,2017,2018,2019,2020,2021,January_2022,February_2022,March_2022,April_2022,May_2022,June_2022,2022,Ex-Showroom_Price,Displacement_in_cc,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity_in_litres,Fuel_Type,Height_in_mm,Length_in_mm,Width_in_mm,Body_Type,Doors,City_Mileage_in_km_per_litre,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range_in_km_per_full_charge,Max_Power_in_hp,Max_Torque_in_Nm
0,Aston Martin,Db 11,226.38,140.22,563.59,1063.02,111.2,626.51,207.23,51.29,156.23,187.35,137.39,178.95,918.44,40456503.0,5198.0,12.0,4.0,AWD (All Wheel Drive),V,,"Rear, Transverse",Injection,80.0,Petrol,1250.0,4385.0,1865.0,Coupe,2,6.0,,,,1680 kg,,130 mm,Ventilated Disc,Ventilated Disc,Independent Double Wish Bone - Coil Spring Suspension,"rear multi link,Coil spring, anti roll bar and adaptive dampers",1570 mm,1575 mm,255/40 ZR 20,295/35 ZR 20,Hydraulic Power,All Windows,"Yes, with memory",Smart Key,Digital,Digital,Analog,Yes,2.0,Leather,Automatic,2600 mm,ZR 20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,300 litres,Yes,Yes,Yes,Digital,"Centre, Front & Rear",Yes,Front,Yes,,Yes,"With Remote, Push to Open",Digital,Automatic,Digital,Yes,11.8 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8.0,9.3:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,599.68,700.0
1,Aston Martin,Rapide,458.26,826.1,162.44,273.47,1084.99,663.78,177.27,52.91,130.45,192.83,66.83,167.64,787.93,38845823.0,5935.0,12.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Mid, Longitudinal",Injection,90.5,Petrol,1360.0,5019.0,1929.0,Sedan,4,9.1,12.9,12.9 km/litre,,1990 kg,8,108 mm,Ventilated Disc,Ventilated Disc,Independent Double Wish Bone - Coil Spring Suspension,"Independent, double-wishbone with coil springs, gas-pressurized shock absorbers and stabilizer bar",1589 mm,1613 mm,245/40R20,295/35R20,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2989 mm,R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",300 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,12 /24 months and can be renewed or extended for a further period,Yes,"Internal, With Remote",Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,2081 kg,"Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag",Yes,Yes,Yes,Yes,8.0,11.1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,"Cup Holders, Audio Controls",Yes,Yes,Yes,,All,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,552.34,630.0
2,Aston Martin,Vantage,168.49,771.37,967.22,541.26,613.31,678.28,110.68,168.29,5.13,209.42,94.95,46.83,635.3,29500000.0,3982.0,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,73.0,Petrol,1273.0,4465.0,2153.0,Coupe,2,5.0,8.0,8 km/litre,,1530 kg,8,122 mm,Ventilated Disc,Ventilated Disc,"Front independent double wishbone design coil springs, anti-roll bar and adaptive damping","Rear multi-link, coil springs, anti-roll bar and adaptive damping",,,255/40/20,295/35/20,Electric Power,Only Front Windows,Yes,,,,Not on offer,,2.0,Leather,Automatic,2704 mm,R20,Yes,,CD Player with USB & Aux-in,,,,Yes,Internal,,,,,,,,,,,Yes,Internal,,Automatic,Analog,Yes,,Yes,,,"Fully automatic climate control, 2 Zone Climate Control",,,,,,,,Yes,,,,,,,,Yes,,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,,Yes,,6.0,10.5:1,"Rake, Reach",,Air Conditioner : Standard,"Rear sensors, Rear sensors with camera",Yes,,,,,Yes,Yes,,,,,,Yes,,Yes,,,2.4 PSI,Only front,Yes,,,,Yes,Yes,,Yes,Yes,,,,,,512.0,685.0
3,Audi,A3,1063.62,589.9,621.06,145.23,892.38,866.15,67.78,222.95,94.01,231.4,123.72,33.89,773.75,3021200.0,1968.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1416.0,4456.0,1796.0,Sedan,4,18.0,18.0,20.38 km/litre,,1340 kg,6,161 mm,Ventilated Disc,Ventilated Disc,multi-link suspension with stabilizer bar and coil springs,multi-link suspension with stabilizer bar and coil springs,1555 mm,1526 mm,205/55R17,205/55R17,Electric Power,All Windows,,Smart Key,Digital,Analog,Analog,Yes,5.0,Leather,Automatic,2637 mm,205/55R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,"Front, Front & Rear",Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1890 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags",Yes,Yes,Yes,,9.0,,"Rake, Reach",,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,,Yes,Yes,Cup Holders,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,141.04,320.0
7,Audi,A3 Cabriolet,59.61,1202.48,516.75,69.09,225.22,1157.35,231.71,168.54,205.82,50.78,169.13,75.38,901.36,5038000.0,1395.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,1409.0,4421.0,1793.0,Convertible,2,19.2,,19.2 km/litre,,1430 kg,7,160 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Multi - link,1555 mm,1526 mm,205 / 55 R16,205 / 55 R16,Electric Power,All Windows,,Smart Key,Digital,Analog,Analog,Yes,4.0,Leather,Automatic,2595 mm,R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,320 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,1930 kg,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag",Yes,Yes,Yes,,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,,,150.05,250.0
8,Audi,A4,737.65,512.23,376.16,511.54,907.88,410.61,217.73,5.6,196.5,174.05,82.94,20.05,696.87,4149000.0,1395.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,54.0,Petrol,1427.0,4726.0,1842.0,Sedan,4,,,,,1450 kg,7,,Ventilated Disc,Ventilated Disc,"Independent-wheel suspension, five-link axle with front track rod, aluminum transverse link, subframe and tubular anti-roll bar","Independent-wheel suspension, five-link axle with rear track rod, resiliently mounted subframe and anti-roll bar",1572 mm,1555 mm,225/50 R17 94Y,225/50 R17 94Y,Electric Power,All Windows,"Yes, with memory",Smart Key,Digital,Digital,Analog,Yes,5.0,Leather,DCT,2820 mm,,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Push to Open,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,3 Zone climate control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,1945 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,147.95,250.0
10,Audi,A5,258.2,859.54,358.75,806.95,513.67,1186.76,108.51,49.61,204.15,104.65,179.56,221.93,868.41,6061200.0,1968.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1386.0,4733.0,1843.0,Sedan,4,,,19.2 km/litre,,2115 kg,7,,Ventilated Disc,Ventilated Disc,,,,,245/40 R18,245/40 R18,Yes,All Windows,Power seats,Smart Key,Yes,Digital,Yes,2,5.0,Leather,Automatic,,245/40 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,54 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,"Analog, Digital",Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,"Front Row, Second Row",1670 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver head airbag, Front passenger head airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Yes,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,187.4,400.0
11,Audi,A5 Cabriolet,1226.34,1182.36,561.8,628.38,883.58,99.68,245.47,61.05,80.56,216.7,45.8,66.05,715.63,6948200.0,1968.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,58.0,Diesel,1386.0,4733.0,1843.0,Convertible,2,,,17.2 km/litre,,1875 kg,7,,Ventilated Disc,Ventilated Disc,,,,,245/40 R18,245/40 R18,Yes,All Windows,Power seats,Smart Key,Yes,Digital,Yes,2,4.0,Leather,Automatic,,245/40 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,480 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,"Digital, Analog",Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,"Front Row, Second Row",2310 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger head airbag",Yes,Yes,Yes,Yes,4.0,,"Rake, Reach",,,Yes,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Semi Automatic Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,187.4,400.0
12,Audi,A6,507.24,648.21,635.54,440.86,135.82,234.15,138.32,91.42,112.97,81.83,55.12,90.27,569.93,5442200.0,1984.0,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,73.0,Petrol,1455.0,4933.0,1874.0,Sedan,4,,,14.11 km/litre,,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,,,225/55 R18,225/55 R18,Electric Power,All Windows,"Yes, with memory",Smart Key,Digital,Analog,"Analog, Digital",Yes,5.0,Leather,Automatic,2912 mm,225/55 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,560 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Comfort, Eco, Sport, Normal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2345 kg,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8.0,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,241.65,370.0
14,Audi,A8 L,301.36,770.97,1113.24,1087.97,632.45,82.69,87.6,56.76,240.06,59.53,40.1,158.12,642.17,15600000.0,2995.0,8.0,4.0,AWD (All Wheel Drive),V,BS 6,"Front, Longitudinal",Injection,82.0,Petrol,1485.0,5302.0,1945.0,Sedan,4,,,,,2030 kg,8,,Ventilated Disc,Ventilated Disc,Five-link front axle; tubular anti-roll bar air spring suspension,Five-link rear axle tubular anti-roll bar; air spring suspension,1644 mm,1633 mm,255/45 R19,255/45 R19,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,Digital,"Analog, Digital",Analog,Yes,4.0,Leather,Automatic,3128 mm,255/45 R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 Years Warranty,Yes,"Internal, With Remote",505 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Analog + Digital,Yes,6.35 meter,Yes,Driver & Front Passenger,,4 Zone climate control,Yes,Yes,Yes,Yes,Yes,Yes,"Normal, Comfort, Eco, Sport, Power Mode",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,,"Driver head airbag, Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,335.35,500.0
